Category,Book_name,Ratings,Price,Book_Url
Academic,Logan Kade (Fallen Crest High #5.5),2,£13.12,http://books.toscrape.com/catalogue/category/books/academic_40/index.html
Add a comment,#GIRLBOSS,1,£50.96,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,23 Degrees South: A Tropical Tale of Changing Whether...,2,£35.79,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-2.html
Add a comment,A Brush of Wings (Angels Walking #3),1,£55.51,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,A Clash of Kings (A Song of Ice and Fire #2),3,£10.79,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,A Game of Thrones (A Song of Ice and Fire #1),2,£46.42,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,A Hero's Curse (The Unseen Chronicles #1),3,£50.49,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-2.html
Add a comment,A People's History of the United States,2,£40.79,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",2,£56.48,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,Angels Walking (Angels Walking #1),2,£34.20,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,Cell,4,£20.29,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,Code Name Verity (Code Name Verity #1),4,£22.13,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,Cosmos,2,£36.17,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,Evicted: Poverty and Profit in the American City,1,£42.27,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,Find Her (Detective D.D. Warren #8),1,£22.37,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-2.html
Add a comment,Fire Bound (Sea Haven/Sisters of the Heart #5),4,£21.28,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,Fun Home: A Family Tragicomic,4,£56.59,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-2.html
Add a comment,Good in Bed (Cannie Shapiro #1),5,£37.05,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-2.html
Add a comment,John Adams,4,£57.43,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-2.html
Add a comment,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),2,£53.90,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,Lord of the Flies,3,£24.89,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-4.html
Add a comment,Manuscript Found in Accra,2,£34.98,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,Mere Christianity,3,£48.51,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-2.html
Add a comment,Modern Romance,5,£28.26,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,More Than Music (Chasing the Dream #1),2,£37.61,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,On a Midnight Clear,3,£14.07,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,One with You (Crossfire #5),4,£15.71,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-2.html
Add a comment,Pride and Prejudice,4,£19.27,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-2.html
Add a comment,Rogue Lawyer (Rogue Lawyer #1),3,£50.11,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,Rook,4,£37.86,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,Sarah's Key,1,£46.29,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,Seven Days in the Art World,2,£52.33,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,"Shobu Samurai, Project Aryoku (#3)",3,£29.06,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,Team of Rivals: The Political Genius of Abraham Lincoln,5,£20.12,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-2.html
Add a comment,The Art Forger,3,£40.76,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,The Blind Side: Evolution of a Game,5,£53.71,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,The Case for Christ (Cases for Christianity),1,£47.84,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,The Catcher in the Rye,1,£24.55,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,The Children,3,£11.88,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-2.html
Add a comment,The Communist Manifesto,3,£14.76,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-4.html
Add a comment,The Complete Poems,5,£41.32,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-3.html
Add a comment,The Dovekeepers,1,£48.78,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Add a comment,The Drowning Girls,3,£35.67,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/page-2.html
